(.V.) :alien:
>:( :anger:
>:[ :anger:
X-( :angry:
~:0 :baby:
(*v*) :bird:
*-* :blush:
</3 :broken_heart:
:S :counfounded:
=^.^= :cat:
*<:o) :clown:
O.o :confused:
:-( :cry:
:-c :cry:
:-< :cry:
:-[ :cry:
:( :cry:
:c :cry:
:< :cry:
:[ :cry:
:-|| :cry:
:{ :cry:
:@ :cry:
=P :cry:
:'-( :cry:
:'( :cry:
)-: :cry:
=( :cry:	
\:D/ :dancing:
:o3 :dog:
#-o :flushed:
<>< :fish:
:-# :grin:
<3 :heart:
=O :hushed:
:-o :hushed:
=-O  :hushed:
O:-) :innocent:
:-)* :kissing:
:-* :kissing:
:* :kissing:
x-D :laughing:
X-D :laughing:
xD :laughing:
XD :laughing:
$_$ :money:
:-/ :neutral_face:
:-\ :neutral_face:
:-P :satisfied:
X-P :satisfied:
x-p :satisfied:
:-p :satisfied:
:-� :satisfied:
:-� :satisfied:
:P :satisfied:
XP :satisfied:
xp :satisfied:
:p :satisfied:
:� :satisfied:
:� :satisfied:
:b :satisfied:
:-) :smile:
:-] :smile:
:-3 :smile:
:-> :smile:
8-) :smile:
:-} :smile:
:) :smile:
:] :smile:
:3 :smile:
:> :smile:
>:) :smile:
8) :smile:
:} :smile:
:o) :smile:
:c) :smile:
:^) :smile:
=] :smile:
=) :smile:
:-)) :smile:
:*) :smile:
:-D :smile:
8-D :smile:
:D :smile:
8D :smile:
=D :smile:
(-: :smile:
^_^ :smile:
;) :smile:
;-) :smile:
:-@ :scream:
